"","V1","V2","V3"
"1",-0.294471990044878,-0.509406743012163,-0.66564963532766
"2",-0.305247872611706,0.00569249800866689,0.229144849931149
"3",-0.35138679245205,-0.647804818782648,0.574734626633527
"4",-0.317046232562215,0.00478111323901304,-0.271238950152745
"5",-0.297581184642081,0.29052043411437,-0.0043096158176088
"6",-0.273056338128902,0.0682343450702516,0.148035122701676
"7",-0.260347158222899,0.286946631570553,-0.0432539753226768
"8",-0.249701798963434,0.214934257112572,0.119056020928719
"9",-0.23986982281186,0.106974289701838,0.0839845934829244
"10",-0.225947516884457,0.220767393265961,0.00800767191259959
"11",-0.208465862535476,0.189186786929506,0.0625271343085256
"12",-0.190801373138396,0.0596247875059798,-0.0770492573624103
"13",-0.173692582381772,0.0360264340385323,-0.0596009930126243
"14",-0.158999269065111,-0.0062153980715385,-0.0944673324159737
"15",-0.146330865927801,0.00866623654588245,-0.12157302981029
"16",-0.136570573992335,0.0386469693170022,-0.0675983424488927
"17",-0.127137263756879,0.0111473526396522,-0.11677759249111
"18",-0.052364441317425,0.0254417750087423,-0.0103857873255848
