ano;edad;municipio;modelo;Mediana;LI95;LS95
2005;75-79;Popayan-Cauca;Cero Inf;388,9005482;264,4584901;578,3002889
2005;75-79;Valledupar-Cesar;Cero Inf;459,4724989;295,4189105;670,7754964
2005;75-79;Fuente De Oro-Meta;Cero Inf;1093,816084;463,3845566;2722,604303
2005;75-79;Mocoa-Putumayo;Cero Inf;676,7380731;297,7270942;1449,191444
2010;75-79;Medellin-Antioquia;Cero Inf;287,4178806;236,646652;344,4120565
2010;75-79;Soledad-Atlantico;Cero Inf;103,1116517;57,62559363;170,5912358
2010;75-79;Bogota, D.C.;Cero Inf;414,410978;366,2528905;464,1512756
2010;75-79;Popayan-Cauca;Cero Inf;282,4547316;185,6453334;431,4596866
2010;75-79;Valledupar-Cesar;Cero Inf;499,0694133;341,8516551;714,7059658
2010;75-79;Fuente De Oro-Meta;Cero Inf;398,1473403;127,1570141;1268,08709
2010;75-79;Mocoa-Putumayo;Cero Inf;530,4324494;201,04419;1381,715924
2017;75-79;Medellin-Antioquia;Cero Inf;182,2411014;147,6481977;223,0132526
2017;75-79;Soledad-Atlantico;Cero Inf;101,0054855;59,85537765;161,7370576
2017;75-79;Bogota, D.C.;Cero Inf;249,975479;219,7462483;283,8966574
2017;75-79;Popayan-Cauca;Cero Inf;381,7375059;262,8569493;548,9110894
2017;75-79;Valledupar-Cesar;Cero Inf;480,2132198;339,6283857;660,133686
2017;75-79;Fuente De Oro-Meta;Cero Inf;400,0602711;120,2699592;1209,199603
2017;75-79;Mocoa-Putumayo;Cero Inf;461,4005151;157,3153871;1337,164295
2005;40-44;Medellin-Antioquia;Cero Inf;2,178889614;1,015197307;4,085889328
2005;40-44;Soledad-Atlantico;Cero Inf;8,1523E-07;1,72757E-08;2,70632E-05
2005;40-44;Bogota, D.C.;Cero Inf;1,848758552;1,10006038;2,875273962
2005;40-44;Popayan-Cauca;Cero Inf;0,001013275;6,6343E-05;0,016002755
2005;40-44;Valledupar-Cesar;Cero Inf;0,972926821;0,109666516;6,243006369
2005;40-44;Fuente De Oro-Meta;Cero Inf;1118,082944;0,116169899;3894970,131
2005;40-44;Mocoa-Putumayo;Cero Inf;36,84731758;0,361459126;374,6776777
2010;40-44;Medellin-Antioquia;Cero Inf;0,603861272;0,217170658;1,430170127
2010;40-44;Soledad-Atlantico;Cero Inf;7,28642E-08;1,47318E-09;2,55142E-06
2010;40-44;Bogota, D.C.;Cero Inf;2,150159535;1,347825936;3,295529052
2010;40-44;Popayan-Cauca;Cero Inf;4,24679E-06;2,06548E-07;6,44952E-05
2010;40-44;Valledupar-Cesar;Cero Inf;0,079643201;0,008342271;0,612265374
2010;40-44;Fuente De Oro-Meta;Cero Inf;0,009160741;3,78296E-07;182,3173729
2010;40-44;Mocoa-Putumayo;Cero Inf;0,028780789;3,26095E-06;365,4006253
2017;40-44;Medellin-Antioquia;Cero Inf;0,104954244;0,029582847;0,34517782
2017;40-44;Soledad-Atlantico;Cero Inf;2,10188E-06;9,28162E-08;3,73869E-05
2017;40-44;Bogota, D.C.;Cero Inf;2,416670937;1,548743361;3,633829468
2017;40-44;Popayan-Cauca;Cero Inf;0,03930043;0,004583506;0,346638313
2017;40-44;Valledupar-Cesar;Cero Inf;0,099129885;0,013325311;0,696477482
2017;40-44;Fuente De Oro-Meta;Cero Inf;0,00019538;3,26488E-08;0,334242409
2017;40-44;Mocoa-Putumayo;Cero Inf;2,49043E-05;3,33717E-08;0,005803361
2005;20-24;Medellin-Antioquia;Cero Inf;0,27707727;0,121370354;0,696380369
2005;20-24;Soledad-Atlantico;Cero Inf;0,001565101;0,000292486;0,00886796
2005;20-24;Bogota, D.C.;Cero Inf;0,238829326;0,11564534;0,507790104
2005;20-24;Popayan-Cauca;Cero Inf;0,018978584;0,004120298;0,068735917
2005;20-24;Valledupar-Cesar;Cero Inf;0,160906899;0,045931232;0,562724617
2005;20-24;Fuente De Oro-Meta;Cero Inf;2,298468841;0,103171653;37,59742254
2005;20-24;Mocoa-Putumayo;Cero Inf;0,630103456;0,097207349;2,791236235
2010;20-24;Medellin-Antioquia;Cero Inf;0,27920968;0,094439804;0,798287874
2010;20-24;Soledad-Atlantico;Cero Inf;0,000653719;9,644E-05;0,004464911
2010;20-24;Bogota, D.C.;Cero Inf;0,179514068;0,08279074;0,394450763
2010;20-24;Popayan-Cauca;Cero Inf;0,002895468;0,00046021;0,013652508
2010;20-24;Valledupar-Cesar;Cero Inf;0,154098663;0,038066773;0,747688033
2010;20-24;Fuente De Oro-Meta;Cero Inf;0,044971642;0,001358802;1,660803457
2010;20-24;Mocoa-Putumayo;Cero Inf;0,072037023;0,002028087;2,037103204
2017;20-24;Medellin-Antioquia;Cero Inf;0,184563554;0,05191815;0,673319754
2017;20-24;Soledad-Atlantico;Cero Inf;0,002115655;0,000249645;0,016902034
2017;20-24;Bogota, D.C.;Cero Inf;0,132446429;0,05494728;0,293705156
2017;20-24;Popayan-Cauca;Cero Inf;0,051898002;0,008561012;0,286825744
2017;20-24;Valledupar-Cesar;Cero Inf;0,134661796;0,027748914;0,694424947
2017;20-24;Fuente De Oro-Meta;Cero Inf;0,010972386;0,000394427;0,209329901
2017;20-24;Mocoa-Putumayo;Cero Inf;0,005318392;0,000294299;0,072810896
2005;75-79;Medellin-Antioquia;Bnegativo;462,7878144;392,4614242;544,3144522
2005;75-79;Soledad-Atlantico;Bnegativo;217,8130463;139,2731094;325,8525272
2005;75-79;Bogota, D.C.;Bnegativo;407,0254124;356,2048605;465,8352823
2005;75-79;Popayan-Cauca;Bnegativo;441,7379182;308,1092673;616,5383048
2005;75-79;Valledupar-Cesar;Bnegativo;530,1133273;374,269499;734,2841143
2005;75-79;Fuente De Oro-Meta;Bnegativo;565,8870492;284,6141752;1149,027816
